id,title,cover,locations,artists,songs,date
1,Mendelssohn & Wagner,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/c3/b2/c3b2c021-ec7c-4a27-9c78-2605af019ddf/180825_18315_sommer_sinf_konz_9_lfo_chailly_c_fischli_04_frei.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Lucerne Festival Orchestra', 'Riccardo Chailly']","['Felix Mendelssohn (1809–1847) Symphony No. 3 In A Minor, Op. 56 Scottish', 'Felix Mendelssohn (1809–1847) Symphony No. 5 In D Minor, Op. 107 Reformation Symphony', 'Richard Wagner (1813–1883) Prelude To The Stage Festival Play Parsifal', 'Richard Wagner (1813–1883) Ride Of The Valkyries From The Third Act Of The Opera Die Walküre']",2022-04-08 18:30:00+00:00
2,Mendelssohn & Schumann,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/0d/16/0d1668a5-70b1-4f7e-b531-92a5f25eddc0/avdeeva_yulianna.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Soloists of the Lucerne Festival Orchestra', 'Yulianna Avdeeva']","['Felix Mendelssohn (1809–1847) Octet In E-Flat Major For Four Violins, Two Violas, And Two Celli, Op. 20', 'Robert Schumann (1810–1856) Three Romances For Oboe And Piano, Op. 94']",2022-04-09 18:30:00+00:00
3,Mendelssohn & Berlioz,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6a/7b/6a7b9156-995f-4293-83b4-eec0f35f78aa/lemieux_marie_nicole_c_denisrouvre.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Lucerne Festival Orchestra', 'Marie-Nicole Lemieux', 'Riccardo Chailly']","['Felix Mendelssohn (1809–1847) Ouverture Ruy Blasin C Minor, Op. 95', 'Felix Mendelssohn (1809–1847) Symphony No. 4 In A Major, Op. 90 Italian', 'Gioachino Rossini (1792–1868) Ouverture To The Operail Barbiere Di Siviglia', ""Hector Berlioz (1803–1869) Les Nuits D'Été,Op. 7""]",2022-04-10 17:30:00+00:00
